SAMPLE_KEY,smiles
BJ1896351,Fc1ccccc1-c1ccnc2OCC(=O)N(Cc3cc(cc(c3)C(F)(F)F)C(F)(F)F)Cc12
BJ1896476,CCCC(C)NC(=O)c1ccc(Cl)c(Cl)c1
BJ1894230,Oc1cc2CCNCC(c3ccccc3)c2cc1O
BJ1896063,C(N1CCN(CC1)c1ncccn1)c1cnc([nH]1)-c1ccccc1
BJ1896111,Nc1nc(F)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
BJ1894375,C[C@@H](N)[C@H]1CC[C@@H](CC1)C(=O)Nc1ccncc1
BJ1895811,CC1(CN2CCC(CC2)n2c3ccccc3[nH]c2=O)OCc2ccccc2-n2cccc12
BJ1896396,CCn1c(nc2cncc(CNC3CCNCC3)c12)-c1nonc1N
BJ1896524,CCN1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc2ccc(C)c(Oc3ccc4NC(=O)Cc4c3)c2)CC1
BJ1896491,Clc1ccccc1C(C#N)(c1ccccc1)c1ccccc1
BJ1895676,COc1cc2C3CC[C@@]4(C)[C@@H](O)CCC4C3CCc2cc1O
BJ1896490,COc1ccc(CCN2CCN(CCCc3ccccc3)CC2)cc1OC
BJ1896058,O=c1cc(nc2c3ccccc3ccn12)N1CCOCC1
BJ1896445,Cc1cnc2c(NCCN)nc3ccc(C)cc3n12
BJ1894157,Cc1ccc2n3CCNC4CCCc(c34)c2c1
BJ1896820,COc1ccccc1OC(=O)c1ccccc1OC(C)=O
BJ1895644,[H][C@](C)(O)[C@@]1([H])C(=O)N2C(C(O)=O)=C(C[C@]12[H])SCCNC=N |c:12|
BJ1894494,CC(=O)Nc1ccc(O)cc1
BJ1894452,CCOC(=O)c1ccc(O)cc1
BJ1894569,CCC(C)C1NC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNCS([O-])(=O)=O)NC1=O)C(C)O)NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)CCCCC(C)C)C(C)O)C(C)CC
BJ1895739,COP(=O)(OC)OC(c1ccc(Cl)cc1)P(=O)(OC)OC
BJ1895996,Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1
BJ1894002,[H][C@]1(OC(=O)c2c3OCOc3ccc12)[C@]1([H])c2cc3OCOc3cc2CC[N+]1(C)C
BJ1895776,CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1
BJ1894312,C[C@H](NC[C@H](O)CP(O)(=O)CC1CCCCC1)c1ccc(Cl)c(Cl)c1
BJ1896434,CCS(=O)c1nc(cc(n1)C(F)(F)F)-c1cccc(OCc2ccccc2)c1
BJ1894221,COC(=O)Nc1ccc2[nH]cc(CCNC(C)=O)c2c1
BJ1896078,NC(=O)c1sc(cc1N)-c1ccsc1
BJ1896406,FCc1ccc(OCCOc2ccc(Cl)cc2Cl)c(Cl)n1
BJ1894045,CC(CN)CC(O)=O
BJ1896425,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(ccc12)-c1ccccc1
BJ1894029,NCc1cc(O)no1
BJ1896516,O=C(NCC(=O)N1CCCCC1)Nc1ccc2nnsc2c1
BJ1896435,COc1cc(cc(OC)c1OC)C(=O)N(CCC1CCCN1C)C\C(C)=C\c1ccccc1F
BJ1896002,Oc1ccc(Br)cc1-c1cc(-c2ccccc2)c(C#N)c(=O)[nH]1
BJ1896140,Nc1nccc(n1)-c1ccc2noc(-c3ccc(Cl)cc3)c2c1
BJ1896163,Clc1ccc(cc1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)\C=C\c1ccccc1
BJ1895989,[H][C@@]12CC[C@@](OC(=O)CCCCCC)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H] |c:29|
BJ1894545,OC[C@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+]([O-])=O
BJ1894554,"CN(C)[C@H]1[C@@H]2C[C@H]3C(C(=O)c4c(O)ccc(Cl)c4[C@@]3(C)O)=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O |c:33,t:22|"
BJ1894501,NC12CC3CC(CC(C3)C1)C2
BJ1896311,CC1(C)OC[C@H](NC(=O)Nc2ccc(Br)cc2Br)[C@@H](O1)c1ccccc1
BJ1894256,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1
BJ1894203,Cc1ccccc1NC(=N)Nc1ccccc1C
BJ1894094,CCOC(=O)C1=C(O)C(=O)N(Cc2ccccc2)C1 |c:5|
BJ1896545,C[C@H](c1cnc[nH]1)c1cccc(C)c1C
BJ1895781,"CC1(C)C(=O)N=C2C1=C(O)C(=O)c1ccccc21 |c:5,8|"
BJ1896126,Cc1ccc(c(C)c1)-c1csc(NC(=O)c2ccccc2)n1
